Radiated power per atom (W m3) as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd96/acd96_ne.dat
scd : /home/adas/adas/adf11/scd96/scd96_ne.dat
plt : /home/adas/adas/adf11/plt96/plt96_ne.dat
prb : /home/adas/adas/adf11/prb96/prb96_ne.dat

Te[eV]
 3.547e-32 3.504e-32 3.469e-32 3.441e-32 3.416e-32 3.394e-32 3.372e-32 3.348e-32
 3.324e-32 3.297e-32 3.270e-32 3.243e-32 3.215e-32 3.187e-32 3.159e-32 3.131e-32
 3.104e-32 3.076e-32 3.049e-32 3.022e-32 2.996e-32 2.969e-32 2.943e-32 2.917e-32
 2.891e-32 2.865e-32 2.840e-32 2.814e-32 2.789e-32 2.764e-32 2.739e-32 2.714e-32
 2.690e-32 2.666e-32 2.641e-32 2.617e-32 2.593e-32 2.570e-32 2.546e-32 2.523e-32
Lz[Wm**3] for tau[ms]=    1.0
 1.072e-39 2.463e-39 5.521e-39 1.205e-38 2.553e-38 5.237e-38 1.037e-37 1.977e-37
 3.607e-37 6.289e-37 1.047e-36 1.663e-36 2.514e-36 3.613e-36 4.938e-36 6.436e-36
 8.072e-36 9.893e-36 1.209e-35 1.503e-35 1.934e-35 2.597e-35 3.635e-35 5.262e-35
 7.777e-35 1.158e-34 1.716e-34 2.506e-34 3.579e-34 4.985e-34 6.770e-34 8.982e-34
 1.167e-33 1.489e-33 1.870e-33 2.317e-33 2.837e-33 3.437e-33 4.124e-33 4.900e-33
 5.768e-33 6.724e-33 7.761e-33 8.877e-33 1.007e-32 1.136e-32 1.277e-32 1.431e-32
 1.602e-32 1.790e-32 1.995e-32 2.215e-32 2.445e-32 2.682e-32 2.920e-32 3.153e-32
 3.379e-32 3.594e-32 3.797e-32 3.988e-32 4.168e-32 4.337e-32 4.497e-32 4.649e-32
 4.792e-32 4.926e-32 5.047e-32 5.150e-32 5.231e-32 5.281e-32 5.293e-32 5.260e-32
 5.177e-32 5.040e-32 4.854e-32 4.624e-32 4.360e-32 4.076e-32 3.784e-32 3.493e-32
 3.214e-32 2.952e-32 2.709e-32 2.489e-32 2.289e-32 2.109e-32 1.946e-32 1.800e-32
 1.668e-32 1.549e-32 1.442e-32 1.345e-32 1.258e-32 1.180e-32 1.110e-32 1.048e-32
 9.916e-33 9.419e-33 8.980e-33 8.596e-33 8.263e-33 7.980e-33 7.744e-33 7.553e-33
 7.407e-33 7.301e-33 7.235e-33 7.204e-33 7.207e-33 7.237e-33 7.289e-33 7.358e-33
 7.437e-33 7.521e-33 7.604e-33 7.681e-33 7.746e-33 7.796e-33 7.829e-33 7.844e-33
